Month,Jan,Feb,Mar,Apr,May,Monthly Budget,Yearly Budget
3000_TITHESandOFFERINGS,"44,837.71","62,241.21","56,530.04","54,530.89","59,305.47","66,000.00","792,000.00"
4020 LITERATURE - SUNDAY SCHOOL,0,639.6,"2,154.64",0,"1,912.06",666.67,"8,000.00"
4021 LITERATURE - DISCIPLESHIP TR,49.93,356.01,58.84,83.97,26.52,166.67,"2,000.00"
4023 DEVOTIONAL MATERIAL,99.81,70.37,389.93,74.41,464.4,291.67,"3,500.00"
4024 BIBLE DRILLS,0,0,0,367.35,14.66,41.67,500
4030 VACATION BIBLE SCHOOL,842.86,0,0,0,"2,293.18",708.33,"8,500.00"
4035 WMU CONFERENCE,0,0,0,0,0,12.5,150
4040 WMU,0,0,0,0,0,50,600
4041 WMU LITERATURE,0,0,0,0,0,83.33,"1,000.00"
4044 WMU GUEST SPEAKERS,0,50,0,0,0,16.67,200
4058 MUSIC MISC,604.74,514.97,"1,653.01",43,285.51,416.67,"5,000.00"
4060 ADULT CHOIR,136.81,184.06,0,247.23,488.75,250,"3,000.00"
4110 SENIOR ADULTS,0,0,0,0,0,41.67,500
4113 SENIOR ADULTS FELLOWSHIP,0,0,0,0,0,166.67,"2,000.00"
4120 YOUTH MINISTRY,-260,"8,750.24","4,723.28","1,565.69","5,965.48","2,083.33","25,000.00"
4125 COLLEGE MINISTIRES,0,0,0,0,0,416.67,"5,000.00"
4143 CHILDREN'S INTERN,469.52,973.59,-25,589.63,872.6,"1,166.67","14,000.00"
4147 SOFTBALL,0,0,0,0,0,62.5,750
4150 CHILDREN'S CAMP,0,"3,300.00",-100,-800,-600,666.67,"8,000.00"
8010 COOPERATIVE PROGRAM,"4,035.39","5,601.71","5,927.41","4,907.78","5,337.49","5,937.67","71,252.08"
8020 ASSOCIATION MISSIONS,896.75,"1,244.82","1,130.60","1,090.62","1,186.11","1,319.48","15,833.80"
8032 BAPTIST CHILDRENS VILLA,350,350,350,350,350,350,"4,200.00"
8033 GIDEONS,350,350,350,350,350,350,"4,200.00"
8035 HELPING HANDS,350,350,350,350,350,350,"4,200.00"
8036 FCA,175,175,175,175,175,350,"4,200.00"
8037  LIFE CHOICES PREGNANCY CARE CT,350,350,350,350,350,350,"4,200.00"
8038 BSU AT EMCC,350,350,350,350,350,350,"4,200.00"
8039 BSU AT MSU,350,350,350,350,350,350,"4,200.00"
8040 BSU AT MUW,350,350,350,350,350,350,"4,200.00"
8041 BEAUTIFUL FEET MINISTRIES,100,100,100,100,100,100,"1,200.00"
